HHID,year,y3_panelweight,psu,lat,lon,region,district,ward,ea,urban,femhead,agehead,hhszae,educave15_60,area_gps,distprschool,credit,TLU_cattle,TLU_oxen,TLU_pigs,TLU_sheep,TLU_goats,TLU_chicken,TLU_donkeyhorses,TLU_otheranim,cellphone,safewater,landown,swc_any,fert_org_use,tot_exp,food_exp,mean_rain_lt,sd_rain_lt
4376,2008,4027.445068,405010016,-5.539572239,38.86110306,Tanga,5,10,405010004,0,1,36,4.3800001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.21405673,0,0,1903.277,1767.9696,735.83484,122.41151
4843,2008,4091.432617,104017304,-6.391560555,35.89620972,Dodoma,4,17,104017304,1,0,63,5,4.6666665,4,0,0,0,0,0.40000001,0,0,0,0,0,0,0,2.731627703,0,0,1614.7606,1349.4608,272.17099,51.538509
3437,2008,1129.455933,703018048,-6.857261181,39.26981354,Dar es salaam,3,18,703018025,1,0,38,4.54,8,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3412.6975,1896.8235,667.95068,150.67451
64,2008,290.181427,5501015040,-5.232223988,39.78032303,KUSINI PEMBA,1,15,5501015005,1,0,45,8.4200001,8.5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1651.995,1419.8282,963.64862,206.81903
742,2008,4659.401855,2101010048,-4.189873219,35.69971466,Manyara,1,10,2101010003,0,0,29,2.3600001,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.15009,523.50385,402.59625,88.146881
2539,2008,2981.118896,1102012032,-8.402626038,34.74558258,Iringa,2,12,1102012001,0,0,48,8.1199999,6.4000001,3,0,0,0,0,0,0,0,0.17,0,0,0,0,0.82960546,0,0,2746.9438,2063.8582,389.59732,59.462799
40,2008,301.6010437,5502001152,-5.35541153,39.65015793,KUSINI PEMBA,2,1,5502001005,1,0,48,4.52,5.6666665,3,0.1,0,0,0,0,0,0,0,0,0,1,1,0.202342793,0,0,1135.4636,988.46436,1167.9387,281.69742
2538,2008,2906.763184,1102012032,-8.402626038,34.74558258,Iringa,2,12,1102012001,0,0,47,4.2399998,6.5,12.49999994,0,0,0,0,0.2,0,0.80000001,0.12,0,0.40000001,0,0,0.404685587,0,1,2408.2476,1355.9648,389.59732,59.462799
3943,2008,2777.030762,701008000,-6.808707714,39.26417542,Dar es salaam,1,8,701008005,1,0,64,8.6199999,10.714286,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10884.123,5672.312,648.98047,146.60995
2965,2008,732.0391846,902016000,-10.57839012,39.36463928,Mtwara,2,16,902016003,0,1,51,3.3600001,0,1,0,0,0,0,0,0,0,0.039999999,0,0,0,1,0,0,0,727.9386,715.53766,635.39783,97.744827
78,2008,248.6063538,5501012992,-5.236598015,39.76827621,KUSINI PEMBA,1,13,5501013009,1,0,68,9,4.6666665,1,0.1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1911.0851,1333.5654,971.20007,208.6859
2535,2008,3192.122803,1102012032,-8.402626038,34.74558258,Iringa,2,12,1102012001,0,0,39,3.76,2.3333333,5.735316038,0,0,4,0,0,0,1.2,0.29999998,0,1.2,0,0,2.320999622,0,1,2700.3455,2456.8098,389.59732,59.462799
1069,2008,2053.843262,1902024960,-2.731047392,33.61597443,Mwanza,2,25,1902025003,0,0,30,3.5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,945.5697,831.24878,494.53937,91.587692
4149,2008,3619.577637,601006016,-6.441176891,38.90187836,Pwani,1,6,601006018,1,1,74,3.3600001,6,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2489.4602,1658.3383,645.32562,132.15311
